CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.833.450/0001-65;2005-04-07;Fundo de Renda Fixa;2005-03-28;
00.833.452/0001-54;2005-03-29;Fundo de Renda Fixa;2005-03-14;
00.833.454/0001-43;2005-02-15;Fundo Multimercado;2005-02-02;
00.833.456/0001-32;2005-02-14;Fundo Multimercado;2005-02-02;
00.833.458/0001-21;2005-02-16;Fundo Multimercado;2005-02-02;
00.834.072/0001-34;2004-12-22;Fundo Referenciado;2004-12-02;2015-10-30
00.834.072/0001-34;2004-12-22;Fundo de Renda Fixa;2015-10-30;
00.834.074/0001-23;2004-12-22;Fundo de Curto Prazo;2004-12-02;2015-11-16
00.834.074/0001-23;2004-12-22;Fundo de Renda Fixa;2015-11-16;
00.836.255/0001-99;2005-03-19;Fundo Multimercado;2005-03-18;
00.836.256/0001-33;2005-03-19;Fundo Multimercado;2005-03-18;
00.836.258/0001-22;2005-03-16;Fundo de Renda Fixa;2005-03-16;2007-05-14
00.836.258/0001-22;2005-03-16;Fundo Multimercado;2007-05-14;
00.836.259/0001-77;2005-03-19;Fundo Multimercado;2005-03-18;
00.836.263/0001-35;2005-03-19;Fundo de Renda Fixa;2005-03-18;2007-03-01
00.836.263/0001-35;2005-03-19;Fundo Multimercado;2007-03-01;2019-03-06
00.836.263/0001-35;2005-03-19;Fundo de Renda Fixa;2019-03-06;
00.838.158/0001-35;2005-03-10;Fundo Multimercado;2005-02-01;2005-02-28
00.838.158/0001-35;2005-03-10;Fundo Referenciado;2005-02-28;
00.838.266/0001-08;2005-04-20;Fundo de Renda Fixa;2005-04-15;2007-08-31
00.838.266/0001-08;2005-04-20;Fundo Referenciado;2007-08-31;2016-06-15
00.838.266/0001-08;2005-04-20;Fundo de Renda Fixa;2016-06-15;
00.838.267/0001-52;2005-04-19;Fundo de Curto Prazo;2005-04-15;2016-06-15
00.838.267/0001-52;2005-04-19;Fundo de Renda Fixa;2016-06-15;
00.838.269/0001-41;2005-04-20;Fundo de Renda Fixa;2005-04-15;
00.838.868/0001-65;2005-04-01;Fundo Multimercado;2005-03-23;
00.840.008/0001-66;2005-03-14;Fundo Multimercado;2005-03-11;
00.840.011/0001-80;2005-03-10;Fundo Referenciado;2005-03-10;2016-06-28
00.840.011/0001-80;2005-03-10;Fundo de Renda Fixa;2016-06-28;
00.840.014/0001-13;2005-03-19;Fundo de Renda Fixa;2005-03-18;
00.840.134/0001-10;2005-03-23;Fundo de Renda Fixa;2005-03-10;
00.840.135/0001-65;2005-03-23;Fundo de Curto Prazo;2005-03-09;
00.842.960/0001-07;2005-07-29;Fundo de Renda Fixa;2005-07-20;
00.843.160/0001-00;2005-03-17;Fundo de Renda Fixa;2005-03-14;2008-10-14
00.843.160/0001-00;2005-03-17;Fundo Referenciado;2008-10-14;
00.846.748/0001-00;2005-03-10;Fundo Cambial;2005-03-10;
00.846.885/0001-44;2005-03-17;Fundo Multimercado;2005-03-17;
00.846.892/0001-46;2005-03-18;Fundo de Renda Fixa;2005-03-17;2007-06-26
00.846.892/0001-46;2005-03-18;Fundo Multimercado;2007-06-26;
